 --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,-Xptxas --maxrregcount=, --prec-sqrt=, --no-align-double,response,complete,id
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,30.784184891,true,5492321472981993449
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,30.785145395,true,5492321472981993449
off,0,sm_52,true,cg,ca,false,true,0,off,true,false,63,true,off,30.833599306,true,5492321472981993449
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.039264293,true,12248117985829486578
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.03755019,true,12248117985829486578
on,3,sm_52,false,cs,ca,false,true,3,on,true,true,16,false,off,8.035026005,true,12248117985829486578
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.210494766,true,6567371592610880269
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.142607478,true,6567371592610880269
off,0,sm_30,false,cg,lu,true,false,0,on,false,true,16,false,off,33.323786746,true,6567371592610880269
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.270811993,true,10416812671492724535
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.287119007,true,10416812671492724535
on,0,sm_52,false,cs,ca,false,false,0,on,false,false,16,true,on,31.271729133,true,10416812671492724535
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.503098397,true,4652932033650992733
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.465025852,true,4652932033650992733
off,3,sm_52,false,cg,lu,true,true,0,off,true,false,16,false,on,8.473679577,true,4652932033650992733
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.351964477,true,9053663363471931312
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.347704768,true,9053663363471931312
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.349644624,true,9053663363471931312
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.160106875,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.154451852,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.153018882,true,11340950324400640528
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.160980363,true,2752547375789190527
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.168028651,true,2752547375789190527
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.162650951,true,2752547375789190527
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.225684254,true,10906773989510573306
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.215307619,true,10906773989510573306
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.228389204,true,10906773989510573306
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.484300988,true,8796671663844206289
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.470803303,true,8796671663844206289
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.473058018,true,8796671663844206289
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.436735662,true,16070137239254836212
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.42860117,true,16070137239254836212
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.43123002,true,16070137239254836212
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.587226348,true,14062325625217616257
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.60682741,true,14062325625217616257
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.594871387,true,14062325625217616257
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.092596909,true,8769171197673896629
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.096933061,true,8769171197673896629
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.090107473,true,8769171197673896629
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.259749426,true,6644955225438185279
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.208738066,true,6644955225438185279
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.232656801,true,6644955225438185279
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.134503828,true,11210325699133573381
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.128367635,true,11210325699133573381
off,0,sm_52,true,cs,ca,true,false,3,off,false,true,63,false,on,31.131510997,true,11210325699133573381
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.063792969,true,3118649804581646594
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.063400383,true,3118649804581646594
off,3,sm_30,true,cg,ca,false,true,3,on,false,false,16,false,on,8.066139111,true,3118649804581646594
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.337670791,true,921544197035885622
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.334518931,true,921544197035885622
off,3,sm_52,false,cs,lu,false,false,3,off,false,false,63,false,off,8.338276498,true,921544197035885622
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.9129095,true,16372721131719289303
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.918489978,true,16372721131719289303
on,0,sm_30,true,cg,lu,false,false,3,on,true,false,63,false,on,32.908118116,true,16372721131719289303
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.062118846,true,11179885352194058263
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.068250447,true,11179885352194058263
on,3,sm_30,false,cg,ca,true,true,3,off,false,true,63,true,on,8.063143046,true,11179885352194058263
