2317357176957608617 Qui Fev  8 09:45:43 -02 2018
10144606589520683771 Qui Fev  8 09:46:03 -02 2018
16844645761357879638 Qui Fev  8 09:46:20 -02 2018
7356577936315718371 Qui Fev  8 09:46:37 -02 2018
1914786827398988833 Qui Fev  8 09:46:55 -02 2018
2744784039069361686 Qui Fev  8 09:47:12 -02 2018
9065119990772745104 Qui Fev  8 09:47:29 -02 2018
4034717897715990342 Qui Fev  8 09:47:47 -02 2018
10467037043907315505 Qui Fev  8 09:48:05 -02 2018
8191115304262385030 Qui Fev  8 09:48:22 -02 2018
10704477250102707331 Qui Fev  8 09:48:40 -02 2018
7307369237444727502 Qui Fev  8 09:48:57 -02 2018
13034243342634655858 Qui Fev  8 09:49:15 -02 2018
1433960792271953814 Qui Fev  8 09:49:33 -02 2018
17305463625291136743 Qui Fev  8 09:49:51 -02 2018
3263340291574720614 Qui Fev  8 09:50:08 -02 2018
14464772313603975121 Qui Fev  8 09:50:26 -02 2018
16092463556146089333 Qui Fev  8 09:50:43 -02 2018
14880562048228750904 Qui Fev  8 09:51:01 -02 2018
6390715056701635381 Qui Fev  8 09:51:19 -02 2018
