dummy3, --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,dummy2,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,dummy1,-Xptxas --maxrregcount=,dummy4, --prec-sqrt=, --no-align-double,response,complete,id
-1,on,2,sm_52,false,cg,lu,true,true,3,-1,on,false,false,1,63,-1,true,off,1.284536667,true,13034243342634655858
-1,on,2,sm_52,false,cg,lu,true,true,3,-1,on,false,false,1,63,-1,true,off,1.283626851,true,13034243342634655858
1,on,2,sm_20,true,cg,lu,false,false,3,-1,on,true,false,-1,63,1,false,on,1.331214489,true,14723875976531155648
1,on,2,sm_20,true,cg,lu,false,false,3,-1,on,true,false,-1,63,1,false,on,1.286959097,true,14723875976531155648
1,on,2,sm_20,true,cg,lu,false,false,3,-1,on,true,false,-1,63,1,false,on,1.292684926,true,14723875976531155648
-1,off,3,sm_20,false,cs,ca,true,false,2,-1,on,true,false,1,63,1,true,on,1.232340799,true,15074698308700351608
-1,off,3,sm_20,false,cs,ca,true,false,2,-1,on,true,false,1,63,1,true,on,1.226994346,true,15074698308700351608
-1,off,3,sm_20,false,cs,ca,true,false,2,-1,on,true,false,1,63,1,true,on,1.225875287,true,15074698308700351608
1,off,2,sm_20,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,1.237856897,true,18183250591116101860
1,off,2,sm_20,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,1.22537516,true,18183250591116101860
1,off,2,sm_20,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,1.226101644,true,18183250591116101860
