 --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,-Xptxas --maxrregcount=, --prec-sqrt=, --no-align-double,response,complete,id
on,3,sm_30,true,cs,lu,true,false,3,off,true,false,16,true,off,8.340921455,true,9053663363471931312
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.152061581,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.150966982,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.153729693,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.148977248,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.162656291,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.146730354,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.147495963,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.147456375,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.148509935,true,11340950324400640528
on,0,sm_52,false,cg,lu,true,true,3,on,false,false,63,true,off,31.154592175,true,11340950324400640528
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.155302047,true,2752547375789190527
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.155914142,true,2752547375789190527
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.157286942,true,2752547375789190527
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.158235389,true,2752547375789190527
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.148633677,true,2752547375789190527
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.154128273,true,2752547375789190527
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.159532425,true,2752547375789190527
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.151461413,true,2752547375789190527
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.156960898,true,2752547375789190527
off,0,sm_52,true,cs,lu,true,true,3,on,true,true,16,true,on,31.16345722,true,2752547375789190527
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.222820479,true,10906773989510573306
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.201357399,true,10906773989510573306
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.207927334,true,10906773989510573306
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.226973176,true,10906773989510573306
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.213219114,true,10906773989510573306
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.244279355,true,10906773989510573306
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.21365577,true,10906773989510573306
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.226315782,true,10906773989510573306
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.224773148,true,10906773989510573306
on,3,sm_52,true,cg,ca,true,false,0,on,true,true,63,false,off,8.223607937,true,10906773989510573306
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.496371335,true,8796671663844206289
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.476726199,true,8796671663844206289
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.45858195,true,8796671663844206289
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.483528182,true,8796671663844206289
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.501146003,true,8796671663844206289
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.501748613,true,8796671663844206289
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.47727085,true,8796671663844206289
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.502132514,true,8796671663844206289
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.458599911,true,8796671663844206289
on,3,sm_52,true,cg,lu,false,false,0,off,false,true,16,true,on,8.473060027,true,8796671663844206289
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.448090225,true,16070137239254836212
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.428336227,true,16070137239254836212
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.43638048,true,16070137239254836212
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.433027468,true,16070137239254836212
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.427171007,true,16070137239254836212
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.425172479,true,16070137239254836212
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.427918227,true,16070137239254836212
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.421876354,true,16070137239254836212
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.438362963,true,16070137239254836212
off,0,sm_30,false,cg,ca,false,false,3,off,true,true,16,true,off,33.419612206,true,16070137239254836212
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.616596299,true,14062325625217616257
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.566718809,true,14062325625217616257
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.606515381,true,14062325625217616257
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.602616346,true,14062325625217616257
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.563238418,true,14062325625217616257
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.563738036,true,14062325625217616257
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.558526549,true,14062325625217616257
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.593735747,true,14062325625217616257
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.584826927,true,14062325625217616257
on,0,sm_30,true,cs,ca,true,true,0,off,false,false,16,false,off,33.596694359,true,14062325625217616257
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.117837881,true,8769171197673896629
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.110241889,true,8769171197673896629
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.106495427,true,8769171197673896629
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.109476078,true,8769171197673896629
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.090716487,true,8769171197673896629
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.101393255,true,8769171197673896629
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.089899554,true,8769171197673896629
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.070941083,true,8769171197673896629
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.093869427,true,8769171197673896629
on,0,sm_30,false,cs,lu,false,true,0,off,true,true,63,false,on,33.094923074,true,8769171197673896629
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.210063554,true,6644955225438185279
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.233407356,true,6644955225438185279
off,3,sm_30,false,cs,ca,true,false,0,on,true,false,63,true,on,8.227997809,true,6644955225438185279
