dummy3, --use_fast_math,-Xptxas --opt-level=, --gpu-architecture=, --ftz=,-Xptxas --force-store-cache=,-Xptxas --force-load-cache=,-Xptxas --allow-expensive-optimizations=,-Xptxas --fmad=, --optimize=,dummy2,-Xnvlink --preserve-relocs, --relocatable-device-code=, --prec-div=,dummy1,-Xptxas --maxrregcount=,dummy4, --prec-sqrt=, --no-align-double,response,complete,id
1,off,2,sm_20,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,8.077723704,true,18183250591116101860
1,off,2,sm_20,false,cg,ca,false,false,3,-1,off,true,true,1,16,-1,true,off,8.076081307,true,18183250591116101860
1,on,2,sm_20,true,cg,cg,false,false,3,-1,on,true,false,-1,63,1,false,on,8.391076007,true,4601229898150430296
1,on,2,sm_20,true,cg,cg,false,false,3,-1,on,true,false,-1,63,1,false,on,8.347977005,true,4601229898150430296
1,on,2,sm_20,true,cg,cg,false,false,3,-1,on,true,false,-1,63,1,false,on,8.353900612,true,4601229898150430296
1,off,3,sm_52,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,8.334207031,true,2832385055763169752
1,off,3,sm_52,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,8.326516626,true,2832385055763169752
1,off,3,sm_52,false,cs,cg,false,false,3,1,off,false,false,1,63,1,false,off,8.33204278,true,2832385055763169752
-1,on,2,sm_52,false,cg,cg,true,true,3,-1,on,false,false,1,63,-1,true,off,8.332657068,true,17434697871689686891
-1,on,2,sm_52,false,cg,cg,true,true,3,-1,on,false,false,1,63,-1,true,off,8.330367891,true,17434697871689686891
-1,on,2,sm_52,false,cg,cg,true,true,3,-1,on,false,false,1,63,-1,true,off,8.33418442,true,17434697871689686891
